,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,Puntaje
65158,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
65159,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.0
69882,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
69883,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
69884,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
69885,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.0
69886,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
69887,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
69888,10,10,10,10,10,9,10,8,10,10,10,9,9,9,9,9,9,10,9,10,9.5
69889,8,7,7,7,7,7,6,5,4,4,4,7,8,9,9,8,7,6,5,5,6.5
69890,7,7,6,6,7,6,6,7,7,7,6,6,7,6,6,7,6,8,8,6,6.6
69891,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
69892,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
69893,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.0
69894,9,9,10,9,10,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9.05
69895,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
69896,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0
69897,7,7,7,7,7,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7.1
69898,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
69899,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0
69900,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.0
69901,3,3,3,3,4,4,3,2,1,1,1,2,2,2,2,1,3,3,3,2,2.4
69902,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
69903,9,7,7,7,4,4,5,5,6,5,5,7,5,6,5,5,6,5,5,6,5.7
70063,7,7,8,9,8,8,8,8,8,8,8,9,8,8,8,8,9,8,8,9,8.1
70064,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.0
70065,6,6,6,6,6,5,5,5,5,5,6,6,6,6,6,6,5,5,5,6,5.6
70066,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
70067,3,3,3,4,4,3,3,3,4,3,2,2,2,3,3,3,2,2,4,4,3.0
70068,9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,8,9,8,8,8.9
70069,9,9,9,10,9,9,9,9,10,9,9,9,9,9,10,9,9,9,9,9,9.15
70070,8,8,9,8,9,8,9,9,9,1,9,8,8,8,9,9,8,9,9,8,8.15
70071,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
70072,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.0
70073,9,9,8,8,8,9,8,7,7,9,8,8,9,9,9,9,9,9,9,9,8.5
70074,10,9,8,9,9,9,9,8,9,9,8,9,8,9,9,8,9,9,9,9,8.8
70075,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
70076,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
70077,1,10,10,8,8,8,8,7,7,8,8,8,8,8,8,8,8,8,9,10,7.9
70078,6,6,7,6,7,6,8,7,7,6,8,7,6,6,6,7,6,6,5,6,6.45
70079,7,7,7,8,8,8,8,8,8,7,9,8,8,9,8,8,8,8,8,8,7.9
70080,2,3,3,3,3,2,2,2,2,4,4,3,4,3,4,3,4,3,4,3,3.05
70081,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
70082,5,6,6,7,6,7,5,6,6,5,6,5,5,5,6,7,5,6,7,8,5.95
70083,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,7,8,7,7,7.5
70084,9,10,10,9,9,10,9,9,10,9,9,8,10,10,10,10,10,10,10,9,9.5
70085,8,7,7,6,8,7,8,9,8,7,4,6,7,6,5,6,4,7,6,4,6.5
70086,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
70087,9,9,8,8,9,8,5,9,9,8,7,10,8,8,8,9,9,9,9,9,8.4
70088,5,4,5,5,6,6,6,5,5,5,5,5,5,5,3,4,3,4,4,4,4.7
70089,10,9,9,10,10,9,9,9,10,9,9,9,9,10,10,9,10,10,9,10,9.45
70090,5,5,5,4,5,4,5,4,5,4,4,4,4,5,5,4,5,5,4,4,4.5
70091,10,5,10,8,7,7,10,5,7,4,10,6,8,10,9,10,9,10,10,9,8.2
70092,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
70093,2,3,3,3,2,3,2,4,3,3,4,3,3,3,4,2,3,2,3,2,2.85
70094,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0
70095,9,9,8,9,9,9,8,8,8,9,9,9,8,9,8,8,9,8,9,8,8.55
70096,9,10,10,10,8,7,8,7,7,6,7,7,8,9,9,9,10,10,10,8,8.45
70097,8,8,8,9,9,9,8,8,7,8,9,10,9,8,8,7,9,9,9,10,8.5
70098,10,9,10,10,9,9,10,9,9,8,9,8,9,9,9,10,9,9,9,9,9.15
70099,9,9,8,9,8,8,9,9,8,8,9,8,8,8,8,8,8,8,8,9,8.35
70100,10,9,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,8.6
70101,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
70102,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
70103,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
70104,1,2,3,2,2,3,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2.2
74711,3,5,4,5,3,3,3,3,3,3,5,3,4,5,5,3,2,4,4,4,3.7
74712,10,10,10,10,10,8,10,10,10,7,10,9,9,10,9,8,9,10,10,10,9.45
74713,6,4,4,4,6,5,4,6,3,2,4,5,2,4,7,5,7,9,3,5,4.75
74714,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,6,7,6,7,6,5.45
74715,10,10,10,10,8,8,8,10,10,10,10,10,6,6,10,10,6,8,10,8,8.9
74716,3,4,2,2,2,2,2,3,1,6,1,1,2,2,1,2,1,5,1,1,2.2
74717,3,4,4,5,4,3,5,4,4,5,5,4,6,4,4,6,4,6,4,5,4.45
74718,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
74719,5,6,5,6,5,6,4,4,5,4,5,5,5,6,5,5,5,5,5,5,5.05
74720,9,9,8,8,8,8,9,7,9,7,7,8,8,8,8,9,8,8,8,8,8.1
74721,10,8,9,8,8,9,9,8,9,9,9,9,9,8,9,8,9,9,8,9,8.7
74722,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0
74723,10,10,7,7,7,7,7,7,7,10,9,8,9,8,8,8,9,9,9,8,8.2
74724,9,9,9,9,9,9,8,8,8,8,9,9,9,8,8,8,8,8,8,8,8.45
74725,7,7,8,7,8,7,7,7,8,8,8,8,8,7,8,8,9,8,9,7,7.7
74726,6,7,6,6,6,6,6,5,5,6,5,6,7,7,6,6,7,5,6,7,6.05
74727,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.0
74728,6,8,8,8,8,8,8,8,8,8,8,6,8,8,8,8,8,8,8,8,7.8
74729,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0
74730,9,9,9,9,9,9,8,9,10,9,9,8,9,8,9,9,10,10,9,10,9.05
74731,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
99005,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,6.15
99006,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
99007,7,8,7,8,8,8,8,8,8,9,9,9,9,8,9,8,9,9,9,9,8.35
99008,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.0
99009,5,6,4,7,6,7,7,5,7,6,9,8,9,8,9,9,6,7,6,6,6.85
99010,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.0
99011,8,9,8,8,9,8,10,10,8,8,8,8,9,8,8,8,9,8,8,8,8.4
99012,8,9,9,9,10,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8.95
99013,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,9.9
99014,5,5,5,7,7,7,8,8,8,5,8,8,8,8,8,6,6,6,7,8,6.9
99015,10,10,10,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9.1
99016,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
99017,9,9,9,9,9,9,9,10,10,10,10,10,10,9,9,9,9,9,9,9,9.3
99018,8,7,8,7,8,7,8,7,9,7,8,7,8,7,8,8,8,8,7,8,7.65
99019,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
99020,3,2,3,2,3,2,1,1,2,3,3,4,4,5,5,4,5,4,5,4,3.25
99021,9,9,9,9,9,9,8,9,9,9,9,8,9,9,7,9,9,10,9,9,8.85
99022,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.0
99023,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
99024,6,7,7,8,7,8,7,7,8,9,8,8,8,8,8,8,8,7,7,8,7.6
99025,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
99026,7,7,6,8,6,6,5,7,8,7,7,8,8,7,7,8,7,7,8,8,7.1
99027,9,1,1,5,1,1,1,5,5,1,10,5,5,5,5,5,5,1,1,5,3.85
99028,7,9,8,8,7,6,8,8,8,8,8,6,8,7,7,7,8,8,8,7,7.55
99029,5,6,6,5,6,4,5,5,6,4,5,5,4,5,5,4,6,6,5,6,5.15
99030,7,7,7,6,7,8,7,5,7,4,5,4,5,7,6,6,7,8,6,4,6.15
99031,3,4,5,4,5,4,6,6,7,7,7,8,8,9,8,9,8,9,9,8,6.7
99032,8,8,7,8,8,8,8,8,7,8,7,7,7,7,8,8,7,7,8,7,7.55
99033,8,7,7,7,7,8,8,8,7,8,8,7,7,8,8,7,8,7,7,8,7.5
99034,8,7,7,7,7,7,6,8,8,7,8,7,8,6,8,7,7,7,7,9,7.3
99035,10,10,10,10,9,9,10,10,10,10,9,9,8,8,9,10,10,10,10,10,9.55
99036,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0
99037,9,9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.05
99038,9,9,9,9,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9.4
99039,10,7,10,10,7,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,9.6
99040,7,8,9,9,9,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,8.95
99041,7,7,6,8,7,7,5,7,7,7,7,8,9,6,6,6,6,6,6,6,6.7
99042,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.0
99043,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
99044,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0
99045,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
99046,7,7,6,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6.85
99047,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
99048,6,7,6,7,6,7,5,6,6,6,7,6,8,6,8,7,7,7,7,7,6.6
99049,9,9,8,7,7,8,7,8,7,8,7,8,7,7,7,7,8,7,8,7,7.55
99050,7,7,6,7,8,7,8,7,8,7,7,7,7,8,7,6,7,8,7,7,7.15
99051,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.0
99052,9,8,8,7,8,8,8,8,8,7,7,8,7,9,9,9,9,9,9,9,8.2
99053,6,7,8,9,10,9,8,7,6,5,4,5,6,7,8,9,10,9,8,7,7.4
99054,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
99055,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
99056,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.0
99057,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,9.95
99058,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.0
99059,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
99060,7,7,7,8,7,8,7,8,7,8,7,8,7,8,7,8,6,7,7,6,7.25
99061,8,8,8,7,9,7,8,8,8,8,8,9,8,8,8,8,7,8,8,8,7.95
99062,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
99063,10,7,9,6,8,7,6,8,8,6,8,8,8,7,9,9,7,6,9,7,7.65
99064,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.0
99065,5,5,5,3,3,4,3,4,2,3,2,3,3,2,2,2,2,3,3,5,3.2
99066,5,5,5,5,5,5,5,8,6,5,5,5,5,5,5,5,5,5,5,5,5.2
99067,7,8,7,7,9,9,9,9,6,9,9,8,8,9,10,9,10,9,8,9,8.45
99068,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.0
99069,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
99070,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
99071,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,6.35
99072,10,9,9,9,9,9,10,9,9,10,9,10,10,10,10,10,10,9,10,10,9.55
99073,6,5,7,5,5,7,7,6,8,5,8,6,6,5,5,5,5,5,5,5,5.8
99074,10,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9.0
99075,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0
99076,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4.1
99077,9,7,8,9,7,8,8,8,7,8,9,8,7,8,7,7,8,8,7,9,7.85
99078,7,7,7,8,7,7,7,7,6,7,8,7,9,9,8,7,7,7,7,7,7.3
99079,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0
99080,10,10,10,10,10,10,10,10,10,10,10,9,9,10,9,10,10,9,9,10,9.75
107513,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
107514,9,9,9,9,9,9,9,10,10,9,9,9,9,9,9,8,8,8,8,8,8.85
107515,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
107516,5,5,5,5,8,6,9,6,8,5,7,6,7,7,7,7,7,7,8,7,6.6
107517,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.0
107518,9,10,10,10,9,9,9,9,10,10,10,10,9,9,9,9,9,9,9,9,9.35
107519,9,9,9,8,9,8,7,9,7,7,8,7,8,7,8,9,10,8,9,9,8.25
107520,3,4,4,4,4,3,2,3,5,5,4,5,2,2,4,3,3,3,2,2,3.35
107521,7,7,7,8,6,8,6,7,8,6,7,6,8,8,8,8,7,7,7,8,7.2
107522,8,7,8,6,7,6,7,5,6,7,7,6,6,7,7,6,7,6,5,4,6.4
107523,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.0
107524,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
107525,8,9,10,9,8,10,10,10,10,9,10,8,9,10,10,9,10,10,10,9,9.4
107526,10,9,9,9,10,9,10,10,9,9,9,9,10,9,9,9,9,9,10,10,9.35
107527,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4.55
107528,10,9,9,10,9,10,10,10,9,10,9,9,10,9,9,9,9,10,9,10,9.45
107529,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.0
107530,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.2
107531,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
107532,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
107533,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
107534,8,7,7,7,8,8,8,8,9,8,9,8,9,8,9,9,8,8,8,8,8.1
107535,7,6,7,7,6,6,7,6,6,5,6,7,7,7,8,7,8,8,8,8,6.85
107536,10,9,10,10,10,10,10,10,10,9,10,9,9,9,10,10,9,10,10,10,9.7
107537,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
107538,8,8,8,9,8,9,9,8,9,9,8,9,9,9,9,9,8,9,8,9,8.6
107539,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0
107540,6,7,5,6,7,6,6,8,7,8,6,7,7,6,7,6,8,8,8,6,6.75
107541,10,10,9,8,8,8,8,8,8,8,8,8,8,9,10,9,10,9,8,8,8.6
107542,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0
107543,6,7,6,6,6,6,7,7,7,7,6,6,6,6,7,6,7,6,7,6,6.4
107544,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
107545,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
107546,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0
107547,7,6,6,7,6,7,8,7,7,7,8,7,7,8,7,8,7,7,8,7,7.1
107548,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
107549,7,8,7,6,8,8,7,8,7,8,6,7,7,7,6,8,8,8,8,8,7.35
107550,3,3,4,4,4,5,5,5,5,5,6,6,5,6,6,6,6,6,6,6,5.1
107551,7,8,8,8,8,8,8,8,9,6,8,8,7,8,8,8,8,8,8,8,7.85
107552,9,9,9,9,10,9,10,9,9,9,10,9,9,9,9,9,10,9,9,9,9.2
107553,9,9,9,9,10,9,8,9,10,9,8,8,9,10,9,9,9,10,9,8,9.0
107554,6,7,5,6,7,6,6,7,7,6,7,6,7,7,7,7,7,7,7,7,6.6
107555,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
107556,9,10,9,8,9,8,7,8,9,8,8,8,8,7,7,7,7,8,7,8,8.0
107557,10,10,10,9,10,9,10,10,10,10,8,10,10,10,10,10,10,10,10,10,9.8
107558,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
107559,9,10,9,9,10,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9.05
107560,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.1
107561,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
107562,6,6,7,8,8,9,8,8,8,7,8,8,8,8,8,8,8,8,9,9,7.85
107563,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
107564,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2.3
107565,6,6,6,4,6,6,6,5,6,7,5,5,5,6,7,5,5,5,5,5,5.55
107566,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0
107567,7,8,7,7,7,8,8,8,8,8,7,8,7,8,7,8,8,7,7,7,7.5
107568,6,6,8,10,10,9,10,10,10,1,9,9,9,9,10,8,10,10,10,8,8.6
107569,9,9,9,9,8,7,6,5,4,3,3,3,4,5,6,7,8,9,8,7,6.45
107570,8,8,8,9,9,8,9,8,8,8,9,9,9,8,8,8,9,8,8,8,8.35
107571,9,10,9,10,9,8,9,10,9,8,9,10,9,8,9,10,9,8,9,9,9.05
107572,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.0
107573,8,8,9,8,8,6,6,5,8,5,9,9,9,8,8,9,8,8,8,7,7.7
107574,7,5,6,5,6,6,5,6,5,6,5,5,6,5,5,5,5,6,5,5,5.45
107575,6,5,5,6,5,6,5,5,5,6,5,5,5,5,6,5,5,5,6,6,5.35
107576,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
107577,8,8,9,9,10,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,8.9
107578,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0
107579,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
107580,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4.55
107581,9,9,9,9,9,9,9,9,9,9,9,10,9,10,9,9,9,9,9,9,9.1
107582,10,9,10,9,10,9,9,10,9,10,9,10,9,10,9,10,10,9,9,9,9.45
107583,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0
107584,2,4,4,4,6,5,5,6,5,6,3,7,7,7,8,4,3,1,3,5,4.75
107585,2,1,1,2,2,2,2,2,2,2,3,2,2,3,2,3,2,4,3,2,2.2
107586,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7.5
107587,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
107588,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
107589,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0
107590,5,5,5,5,5,5,5,5,6,5,5,6,6,6,6,6,5,5,5,5,5.3
107591,8,9,10,9,8,9,10,9,8,9,10,9,8,7,6,7,8,9,9,9,8.55
107592,7,7,7,7,7,7,7,8,8,8,8,8,8,7,7,7,8,8,8,8,7.5
107593,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
107594,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
107595,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.0
107596,10,4,7,9,9,8,10,9,9,4,8,8,7,10,8,9,9,10,10,7,8.25
107597,7,6,7,6,7,7,7,7,7,8,7,7,7,7,7,7,8,8,8,7,7.1
107598,8,8,8,7,7,7,8,8,8,8,7,7,7,7,7,8,8,8,9,10,7.75
107599,4,4,4,5,4,5,4,4,5,4,4,4,4,3,3,3,3,4,3,3,3.85
107600,9,8,8,7,8,8,9,8,8,7,8,8,8,9,9,8,8,7,8,8,8.05
107601,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.0
107602,9,9,9,9,9,9,9,9,10,9,10,9,10,10,10,10,10,9,10,10,9.45
107603,8,8,8,7,8,9,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8.05
107604,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.0
107605,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
107606,5,5,6,5,6,5,6,5,6,5,5,5,5,5,5,4,5,5,5,5,5.15
107607,10,10,10,10,10,10,10,10,10,10,9,9,8,10,10,10,10,10,10,10,9.8
